Gene Symbol,Gene ID,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
CLDN6,9074,Schizophrenia,MESH:D012559,,Carbamazepine|Copper|Folic Acid|Methionine|Valproic Acid,13.38,6
NMNAT2,23057,Schizophrenia,MESH:D012559,,Carbamazepine|Copper|Folic Acid|Methionine|Valproic Acid,13.38,6
PPP2R2C,5522,Schizophrenia,MESH:D012559,,Carbamazepine|Cocaine|Folic Acid|Methionine|Valproic Acid,13.38,6
TMEM63A,9725,Schizophrenia,MESH:D012559,,Folic Acid|Methamphetamine|Methionine|Phenobarbital|Valproic Acid,13.38,10
UBE2S,27338,Schizophrenia,MESH:D012559,,Folic Acid|Methionine|Phenobarbital|Tetrachloroethylene|Valproic Acid,13.38,6
ZIC3,7547,Schizophrenia,MESH:D012559,,Carbamazepine|Copper|Folic Acid|Methionine|Valproic Acid,13.38,6
ALAD,210,Schizophrenia,MESH:D012559,,S-Adenosylmethionine|Amphetamine|Copper|Fluphenazine|Lithium Carbonate|Phenobarbital|Tetrachloroethylene|Valproic Acid,13.37,33
MED10,84246,Schizophrenia,MESH:D012559,,Carbamazepine|Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.37,6
ADGRG1,9289,Schizophrenia,MESH:D012559,,Copper|Lipopolysaccharides|Phenobarbital|Smoke|Valproic Acid|Vitamin D,13.36,11
BUB1,699,Schizophrenia,MESH:D012559,,Dextroamphetamine|Caffeine|Folic Acid|Methionine|Phenobarbital|Promethazine|Valproic Acid,13.36,7
C1QC,714,Schizophrenia,MESH:D012559,,Amitriptyline|Copper|Ketamine|Lipopolysaccharides|Phenobarbital|Valproic Acid,13.36,9
COL1A2,1278,Schizophrenia,MESH:D012559,,S-Adenosylmethionine|gamma-Aminobutyric Acid|Copper|Cytarabine|Folic Acid|Methionine|Phenobarbital|Plant Preparations|Valproic Acid,13.36,10
RYR1,6261,Schizophrenia,MESH:D012559,,Caffeine|Folic Acid|Lipopolysaccharides|Methionine|Smoke|Valproic Acid,13.36,7
ACO2,50,Schizophrenia,MESH:D012559,,Cocaine|Copper|Epinephrine|Folic Acid|Methamphetamine|Methionine|Valproic Acid,13.35,11
LGMN,5641,Schizophrenia,MESH:D012559,,Copper|Dopamine|Folic Acid|Lipopolysaccharides|Methionine|Valproic Acid,13.35,6
NAT8,9027,Schizophrenia,MESH:D012559,,Folic Acid|Lipopolysaccharides|Methionine|Phenobarbital|Tetrachloroethylene|Valproic Acid,13.35,7
RBBP4,5928,Schizophrenia,MESH:D012559,,Caffeine|Carbamazepine|Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.35,7
FABP1,2168,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline|Chlorpromazine|Clozapine|Thioridazine,13.33,33
EPO,2056,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine|Haloperidol|peginterferon alfa-2b|Ribavirin,13.31,6
FAM71E1,112703,Schizophrenia,MESH:D012559,,Carbamazepine|Ketamine|Methamphetamine|Valproic Acid,13.31,11
SCD,6319,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline|Carbamazepine|Clozapine|Haloperidol,13.31,30
SERPINH1,871,Schizophrenia,MESH:D012559,,Dextroamphetamine|Copper|Cytarabine|Lipopolysaccharides|Norepinephrine|Valproic Acid|Vitamin B 12,13.31,7
ANXA4,307,Schizophrenia,MESH:D012559,,Carbamazepine|Copper|Ketamine|Lipopolysaccharides|Lithium|Phenobarbital|Valproic Acid,13.30,15
GRB14,2888,Schizophrenia,MESH:D012559,,Amitriptyline|Carbamazepine|Copper|Imipramine|Smoke|Valproic Acid,13.30,7
IL1RL1,9173,Schizophrenia,MESH:D012559,,Caffeine|Copper|Folic Acid|Lipopolysaccharides|Phenobarbital|Smoke|Valproic Acid,13.30,9
MAP2K1,5604,Schizophrenia,MESH:D012559,,Clozapine|Cocaine|Copper|Haloperidol|Ketamine|Lipopolysaccharides|Lithium|Methamphetamine|Vitamin A,13.30,229
SCD1,20249,Schizophrenia,MESH:D012559,,Caffeine|Copper|Ketamine|Lipopolysaccharides|Methionine|Norepinephrine|Phenobarbital|Plant Preparations|Smoke,13.30,11
GRM2,2912,Schizophrenia,MESH:D012559,marker/mechanism,Carbamazepine|Cocaine|Haloperidol|Methamphetamine|Valproic Acid,13.29,104
HIGD1A,25994,Schizophrenia,MESH:D012559,,Chlorpromazine|Clozapine|Cocaine|Copper|Haloperidol|Valproic Acid,13.29,236
MS4A4D,66607,Schizophrenia,MESH:D012559,,Folic Acid|Lipopolysaccharides|Methionine|Phenobarbital,13.29,5
NPM3,10360,Schizophrenia,MESH:D012559,,Folic Acid|Ketamine|Methionine|Tetrachloroethylene|Valproic Acid,13.29,8
SLC29A2,3177,Schizophrenia,MESH:D012559,,Dextroamphetamine|Cocaine|Copper|Phenobarbital|Valproic Acid,13.29,6
TNFRSF11B,4982,Schizophrenia,MESH:D012559,,Carbamazepine|Cocaine|Folic Acid|Ketamine|Lipopolysaccharides|Methionine|Phenobarbital|Valproic Acid,13.29,11
TOX,9760,Schizophrenia,MESH:D012559,,Folic Acid|Methionine|Smoke|Tetrachloroethylene|Valproic Acid,13.29,6
UBE4B,10277,Schizophrenia,MESH:D012559,,Carbamazepine|Folic Acid|Methionine|Sertraline|Valproic Acid,13.29,6
CPEB2,132864,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Phenobarbital|Tetrachloroethylene|Valproic Acid,13.28,7
CTNNB1,1499,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine|Clozapine|Haloperidol|olanzapine|Risperidone,13.28,48
CYB5B,80777,Schizophrenia,MESH:D012559,,Carbamazepine|Clozapine|Copper|Methamphetamine|Phenobarbital|Valproic Acid,13.28,144
DCST1,149095,Schizophrenia,MESH:D012559,,Folic Acid|Methionine|Tetrachloroethylene|Valproic Acid,13.28,5
DTL,51514,Schizophrenia,MESH:D012559,,Carbamazepine|Copper|Lipopolysaccharides|Methamphetamine|Phenobarbital|Valproic Acid,13.28,11
SH3YL1,26751,Schizophrenia,MESH:D012559,,Folic Acid|Methamphetamine|Methionine|Smoke|Valproic Acid,13.28,10
SLC17A6,57084,"Schizophrenia, Paranoid",MESH:D012563,,Clozapine|Haloperidol|Risperidone,13.28,45
WSB1,26118,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Lipopolysaccharides|Methionine|Phenobarbital|Valproic Acid,13.28,7
ZBTB8B,728116,Schizophrenia,MESH:D012559,,Folic Acid|Ketamine|Methionine|Valproic Acid,13.28,7
CALN1,83698,Schizophrenia,MESH:D012559,,Carbamazepine|Copper|Folic Acid|Methionine|Valproic Acid,13.27,6
CBX2,84733,Schizophrenia,MESH:D012559,,Carbamazepine|Copper|Phenobarbital|Tetrachloroethylene|Valproic Acid,13.27,6
EPHA6,285220,Schizophrenia,MESH:D012559,,Carbamazepine|Copper|Lipopolysaccharides|Valproic Acid,13.27,5
IL20RB,53833,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Smoke|Valproic Acid,13.27,6
LLGL2,3993,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Smoke|Valproic Acid,13.27,6
TAF1C,9013,Schizophrenia,MESH:D012559,,Folic Acid|Methamphetamine|Methionine|Valproic Acid,13.27,9
TRIM36,55521,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Ketamine|Methionine|Valproic Acid,13.27,8
ZFP1,162239,Schizophrenia,MESH:D012559,,Folic Acid|Methamphetamine|Methionine|Valproic Acid,13.27,9
BEX3,27018,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.26,6
CRBN,51185,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.26,6
GPX1,2876,Schizophrenia,MESH:D012559,,Homocysteine|Clozapine|Copper|Folic Acid|Haloperidol|Lipopolysaccharides|Methionine|Phencyclidine|Phenobarbital|Valproic Acid|Vitamin A,13.26,225
HKDC1,80201,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.26,6
P2RY14,9934,Schizophrenia,MESH:D012559,,Folic Acid|Lipopolysaccharides|Methionine|Phenobarbital|Valproic Acid,13.26,6
RFX4,5992,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.26,6
SPR,6697,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.26,6
CISD3,284106,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Valproic Acid,13.25,5
CYP3A4,1576,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine|Clozapine|Risperidone|Thioridazine,13.25,4
DUOXA1,90527,Schizophrenia,MESH:D012559,,Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.25,5
KRT25,147183,Schizophrenia,MESH:D012559,,Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.25,5
LHFPL4,375323,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Valproic Acid,13.25,5
MIR382,494331,Schizophrenia,MESH:D012559,,Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.25,5
IFNG1R,553965,Schizophrenia,MESH:D012559,,Amitriptyline|Fluoxetine|Lipopolysaccharides,13.24,3
M17,555717,Schizophrenia,MESH:D012559,,Amitriptyline|Fluoxetine|Lipopolysaccharides,13.24,3
FOS,2353,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine|Clozapine|Lithium|Risperidone,13.23,4
CXCL1,2919,Schizophrenia,MESH:D012559,,Clozapine|Copper|Folic Acid|Ketamine|Lipopolysaccharides|Methionine|Metoclopramide|Phenobarbital|Smoke|Valproic Acid|Vitamin D,13.22,150
CDC25A,993,Schizophrenia,MESH:D012559,,Cannabidiol|Cocaine|Copper|Lipopolysaccharides|Phenobarbital|Thioridazine|Valproic Acid,13.21,17
EIF1,10209,Schizophrenia,MESH:D012559,,Caffeine|Carbamazepine|Chlorpromazine|Copper|Phenobarbital|Valproic Acid,13.21,28
ELF3,1999,Schizophrenia,MESH:D012559,,Carbamazepine|Folic Acid|Methionine|Phenobarbital|Smoke|Valproic Acid,13.21,7
GNB1,2782,Schizophrenia,MESH:D012559,,Cocaine|Copper|Lipopolysaccharides|Methamphetamine|Phenobarbital|Valproic Acid,13.21,11
SMARCA2,6595,Schizophrenia,MESH:D012559,,Cocaine|Copper|Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.21,7
TPD52,7163,Schizophrenia,MESH:D012559,,Clonidine|Copper|Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.21,7
CHRM5,1133,Schizophrenia,MESH:D012559,,Amphetamine|Cocaine|Dopamine|Folic Acid|Valproic Acid,13.20,8
DNAJC5,80331,Schizophrenia,MESH:D012559,,Carbamazepine|Imipramine|Phenobarbital|Sertraline|Valproic Acid,13.20,6
MCM3,4172,Schizophrenia,MESH:D012559,,Caffeine|Carbamazepine|Chlorpromazine|Copper|Ketamine|Phenobarbital|Valproic Acid,13.20,31
CCND3,896,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine|Chlorpromazine|Clozapine|Haloperidol,13.18,33
FAM84A,151354,Schizophrenia,MESH:D012559,,Copper|Methamphetamine|Phenobarbital|Plant Preparations|Valproic Acid,13.18,10
PRKG2,5593,Schizophrenia,MESH:D012559,,Copper|Lipopolysaccharides|Phenobarbital|Valproic Acid|Venlafaxine Hydrochloride,13.18,6
JPH1,56704,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Smoke|Valproic Acid,13.17,6
KCNG1,3755,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Ketamine|Methionine|Valproic Acid,13.17,8
KIDINS220,57498,Schizophrenia,MESH:D012559,,Caffeine|Cocaine|Lipopolysaccharides|Phenobarbital|Valproic Acid,13.17,6
NR3C1,2908,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline|Carbamazepine|Chlorpromazine|Clozapine|Trifluoperazine,13.17,35
PGM5,5239,Schizophrenia,MESH:D012559,,Cytarabine|Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.17,6
PTGFRN,5738,Schizophrenia,MESH:D012559,,Caffeine|Carbamazepine|Folic Acid|Methionine|Valproic Acid,13.17,6
S100A9,6280,"Schizophrenia, Paranoid",MESH:D012563,,Carbamazepine|Clozapine|Haloperidol|olanzapine,13.17,33
SENP6,26054,Schizophrenia,MESH:D012559,,Caffeine|Copper|Folic Acid|Methionine|Valproic Acid,13.17,6
SOX3,6658,Schizophrenia,MESH:D012559,,Copper|Cytarabine|Folic Acid|Methionine|Valproic Acid,13.17,6
SUSD3,203328,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Smoke|Valproic Acid,13.17,6
FAIM2,23017,Schizophrenia,MESH:D012559,,Cocaine|Copper|Folic Acid|Methionine|Valproic Acid,13.16,6
FMN2,56776,Schizophrenia,MESH:D012559,,Folic Acid|Methionine|Phenobarbital|Smoke|Valproic Acid,13.16,6
GCG,2641,Schizophrenia,MESH:D012559,,Epinephrine|Lipopolysaccharides|Metoclopramide|Plant Preparations|Propranolol|Valproic Acid|Vitamin A,13.16,8
PROK2,60675,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methamphetamine|Methionine|Valproic Acid,13.16,10
TENM4,26011,Schizophrenia,MESH:D012559,,Cocaine|Copper|Folic Acid|Methionine|Valproic Acid,13.16,6
TGFBR1,7046,Schizophrenia,MESH:D012559,,Cocaine|Diazepam|Lipopolysaccharides|Methamphetamine|Phenobarbital|Valproic Acid|Vitamin A,13.16,12
YWHAB,7529,Schizophrenia,MESH:D012559,,Carbamazepine|Clozapine|Copper|Methamphetamine|Phencyclidine|Valproic Acid,13.16,145
ANTXR2,118429,Schizophrenia,MESH:D012559,,Carbamazepine|Folic Acid|Lithium|Methionine|Smoke|Valproic Acid,13.15,12
GAS6,2621,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Lipopolysaccharides|Methionine|Phenobarbital|Valproic Acid|Venlafaxine Hydrochloride,13.15,8
HTR1D,3352,Schizophrenia,MESH:D012559,,Amitriptyline|Clozapine|Cocaine|Haloperidol|ziprasidone,13.15,219
XRN2,22803,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.15,6
CHN1,1123,Schizophrenia,MESH:D012559,,Clozapine|Cocaine|Copper|Cytarabine|Haloperidol,13.11,216
GSTD7,48340,Schizophrenia,MESH:D012559,,Caffeine|Chlorpromazine|Phenobarbital,13.11,24
NR4A3,8013,Schizophrenia,MESH:D012559,,Cocaine|Fluoxetine|Folic Acid|Haloperidol|Ketamine|Methamphetamine|Valproic Acid,13.11,108
SLCO1A4,28250,Schizophrenia,MESH:D012559,,Amitriptyline|Imipramine|Lipopolysaccharides|Lithium|Methionine|Phenobarbital|Valproic Acid,13.11,12
XKR5,389610,Schizophrenia,MESH:D012559,,Caffeine|Copper|Folic Acid|Methionine,13.11,5
ASNS,440,"Schizophrenia, Catatonic",MESH:D012560,,Chlorpromazine|Clozapine|Thioridazine,13.10,3
CDKN1B,1027,Schizophrenia,MESH:D012559,,Carbamazepine|Copper|Fluoxetine|Folic Acid|Glucocorticoids|Lipopolysaccharides|Lithium|Methionine|Phenobarbital|Reserpine|Valproic Acid,13.10,16
CFL1,1072,Schizophrenia,MESH:D012559,,Copper|Dopamine|Folic Acid|Lipopolysaccharides|Lithium|Phenobarbital|Valproic Acid,13.10,13
FYN,2534,Schizophrenia,MESH:D012559,,Caffeine|Copper|Cytarabine|Haloperidol|Methamphetamine|Phenobarbital|Valproic Acid,13.10,105
RASGRF1,5923,Schizophrenia,MESH:D012559,,Clozapine|Cocaine|Haloperidol|Ketamine|Valproic Acid,13.10,219
CRY1,1407,Schizophrenia,MESH:D012559,,Cocaine|Fluoxetine|Haloperidol|Lipopolysaccharides|Methamphetamine|Valproic Acid,13.09,104
MAP1A,4130,Schizophrenia,MESH:D012559,,Clozapine|Cocaine|Haloperidol|Methamphetamine|Valproic Acid,13.09,221
PDHX,8050,Schizophrenia,MESH:D012559,,Homocysteine|Caffeine|Folic Acid|Methionine|Valproic Acid,13.09,5
PPP5C,5536,Schizophrenia,MESH:D012559,,Clozapine|Cocaine|Copper|Haloperidol|Valproic Acid,13.09,217
TAC3,6866,Schizophrenia,MESH:D012559,,Carbamazepine|Copper|Cytarabine|Valproic Acid,13.09,5
ADCY5,111,"Schizophrenia, Disorganized",MESH:D012562,,Haloperidol|Sulpiride,13.08,1
F3,2152,Schizophrenia,MESH:D012559,,Amphetamine|Cannabidiol|Copper|Dopamine|Lipopolysaccharides|Methamphetamine|Norepinephrine|Phenobarbital|Valproic Acid,13.08,15
MIEF2,125170,Schizophrenia,MESH:D012559,,Folic Acid|Methionine|Tetrachloroethylene|Valproic Acid,13.08,5
MRPL18,29074,Schizophrenia,MESH:D012559,,Copper|Ketamine|Lithium|Methamphetamine|Valproic Acid,13.08,17
RYR2,6262,Schizophrenia,MESH:D012559,,Caffeine|Cocaine|Epinephrine|Folic Acid|Methionine|Valproic Acid,13.08,6
SHMT1,6470,Schizophrenia,MESH:D012559,,Carbamazepine|Copper|Folic Acid|Phenobarbital|Pyridoxine|Valproic Acid,13.08,8
SLC39A10,57181,Schizophrenia,MESH:D012559,,Cannabidiol|Carbamazepine|Cocaine|Lipopolysaccharides|Phenobarbital|Valproic Acid,13.08,7
SNTG2,54221,Schizophrenia,MESH:D012559,,Chlorpromazine|Cocaine|Ketamine|Phenobarbital|Valproic Acid,13.08,29
ZIK1,284307,Schizophrenia,MESH:D012559,,Folic Acid|Methionine|Smoke|Valproic Acid,13.08,5
LOXL1,4016,Schizophrenia,MESH:D012559,,Carbamazepine|Chlorpromazine|Copper|Folic Acid|Methionine|Valproic Acid,13.07,29
TNS2,23371,Schizophrenia,MESH:D012559,,Copper|Lipopolysaccharides|Methamphetamine|Tetrachloroethylene|Valproic Acid,13.07,10
ADAP2,55803,Schizophrenia,MESH:D012559,,Folic Acid|Ketamine|Methionine|Phenobarbital|Valproic Acid,13.06,8
HERPUD1,9709,Schizophrenia,MESH:D012559,,Cannabidiol|Carbamazepine|Copper|Methamphetamine|Phenobarbital|Sertraline|Valproic Acid,13.06,12
LZTFL1,54585,Schizophrenia,MESH:D012559,,Chlorpromazine|Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.06,27
MIR137,406928,Schizophrenia,MESH:D012559,marker/mechanism,Cocaine|Folic Acid|Methionine|Valproic Acid,13.06,6
ACTA1,58,Schizophrenia,MESH:D012559,,Carbamazepine|Cytarabine|Folic Acid|Methionine|Norepinephrine|Phenobarbital|Valproic Acid,13.05,7
ASS1,445,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Phenobarbital|Smoke|Tetrachloroethylene|Valproic Acid,13.05,8
DNMT3B,1789,Schizophrenia,MESH:D012559,,Caffeine|Cocaine|Folic Acid|Ketamine|Methionine|Phenobarbital|Valproic Acid,13.05,10
IRS2,8660,Schizophrenia,MESH:D012559,,Chlorpromazine|Cocaine|Copper|Lipopolysaccharides|Phenobarbital|Tetrachloroethylene|Valproic Acid,13.05,29
LANCL3,347404,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Valproic Acid,13.05,5
MAGED1,9500,Schizophrenia,MESH:D012559,,Cocaine|Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.05,6
OTOP1,133060,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Valproic Acid,13.05,5
SCARA5,286133,Schizophrenia,MESH:D012559,,Folic Acid|Lipopolysaccharides|Methionine|Phenobarbital|Valproic Acid,13.05,6
SULT2A6,629219,Schizophrenia,MESH:D012559,,Amitriptyline|Carbamazepine|Calcifediol|Imipramine|Phenobarbital,13.03,5
EDNRB,1910,Schizophrenia,MESH:D012559,,Cocaine|Folic Acid|Methionine|Norepinephrine|Phenobarbital|Smoke|Valproic Acid|Venlafaxine Hydrochloride,13.02,8
SCD2,20250,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Calcifediol|Methionine|Phenobarbital|Plant Preparations,13.02,7
DDX21,9188,Schizophrenia,MESH:D012559,,Copper|Lipopolysaccharides|Lithium|Methamphetamine|Phenobarbital|Valproic Acid,13.01,16
GLDC,2731,Schizophrenia,MESH:D012559,,Carbamazepine|Folic Acid|Methionine|Phenobarbital|Smoke|Valproic Acid,13.01,7
PCLAF,9768,Schizophrenia,MESH:D012559,,Carbamazepine|Copper|Folic Acid|Ketamine|Methamphetamine|Valproic Acid,13.01,14
WFDC2,10406,Schizophrenia,MESH:D012559,,Carbamazepine|Copper|Lipopolysaccharides|Phenobarbital|Smoke|Valproic Acid,13.01,7
GABRA6,2559,Schizophrenia,MESH:D012559,marker/mechanism,gamma-Aminobutyric Acid|Carbamazepine|Diazepam|Folic Acid|Valproic Acid,13.00,8
HYOU1,10525,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Lipopolysaccharides|Methionine|Phenobarbital|Valproic Acid,13.00,7
NEFL,4747,Schizophrenia,MESH:D012559,,Cocaine|Copper|Folic Acid|Ketamine|Methionine|Tetrachloroethylene|Valproic Acid,13.00,10
NUMBL,9253,Schizophrenia,MESH:D012559,,Clozapine|Haloperidol|olanzapine|Valproic Acid,13.00,257
UNG,7374,Schizophrenia,MESH:D012559,,Carbamazepine|Chlorpromazine|Copper|Folic Acid|Methionine|Phenobarbital|Valproic Acid,13.00,29
AND1,794315,Schizophrenia,MESH:D012559,,Caffeine|Carbamazepine|Valproic Acid,12.99,4
CRYBB1L2,560055,Schizophrenia,MESH:D012559,,Caffeine|Carbamazepine|Valproic Acid,12.99,4
HE1.3,792176,Schizophrenia,MESH:D012559,,Caffeine|Carbamazepine|Valproic Acid,12.99,4
LIM2.4,436680,Schizophrenia,MESH:D012559,,Caffeine|Carbamazepine|Valproic Acid,12.99,4
MAPK8IP1,9479,Schizophrenia,MESH:D012559,,Clozapine|Folic Acid|Methionine|Phencyclidine|Valproic Acid,12.99,142
MIPB,553420,Schizophrenia,MESH:D012559,,Caffeine|Carbamazepine|Valproic Acid,12.99,4
ANXA2,302,Schizophrenia,MESH:D012559,,Cytarabine|Folic Acid|Lipopolysaccharides|Lithium|Methionine|Phenobarbital|Valproic Acid|Vitamin D,12.98,17
CARMIL1,55604,Schizophrenia,MESH:D012559,,Cytarabine|Phenobarbital|Smoke|Tetrachloroethylene|Valproic Acid,12.98,6
DNAJC1,64215,Schizophrenia,MESH:D012559,,Folic Acid|Methionine|Phencyclidine|Phenobarbital|Valproic Acid,12.98,9
SLC2A6,11182,Schizophrenia,MESH:D012559,,Cannabidiol|Folic Acid|Ketamine|Methionine|Valproic Acid,12.98,8
RPL30,6156,Schizophrenia,MESH:D012559,,Folic Acid|Methamphetamine|Methionine|Plant Preparations|Valproic Acid,12.97,10
TRH,7200,Schizophrenia,MESH:D012559,,Alprazolam|Amitriptyline|Copper|Diazepam|Ketamine|Valproic Acid,12.97,9
ARSG,22901,Schizophrenia,MESH:D012559,,Folic Acid|Methionine|Phenobarbital|Tetrachloroethylene|Valproic Acid,12.96,6
EPCAM,4072,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methamphetamine|Methionine|Phenobarbital|Smoke|Valproic Acid,12.96,12
EPN2,22905,Schizophrenia,MESH:D012559,,Carbamazepine|Folic Acid|Lipopolysaccharides|Methionine|Valproic Acid,12.96,6
FOXC2,2303,Schizophrenia,MESH:D012559,,Cocaine|Folic Acid|Methionine|Smoke|Valproic Acid,12.96,6
LECT2,3950,Schizophrenia,MESH:D012559,,Folic Acid|Methionine|Phenobarbital|Tetrachloroethylene|Valproic Acid,12.96,6
MYCL,4610,Schizophrenia,MESH:D012559,,Folic Acid|Methionine|Phenobarbital|Tetrachloroethylene|Valproic Acid,12.96,6
PAK6,56924,Schizophrenia,MESH:D012559,,Cocaine|Copper|Phenobarbital|Smoke|Valproic Acid,12.96,6
PRMT5,10419,Schizophrenia,MESH:D012559,,Carbamazepine|Cocaine|Folic Acid|Methionine|Valproic Acid,12.96,6
RTN4RL1,146760,Schizophrenia,MESH:D012559,,Copper|Lipopolysaccharides|Methamphetamine|Phenobarbital|Valproic Acid,12.96,10
SCFD1,23256,Schizophrenia,MESH:D012559,,Caffeine|Folic Acid|Methionine|Phenobarbital|Valproic Acid,12.96,6
SLCO2B1,11309,Schizophrenia,MESH:D012559,,Aripiprazole|Carbamazepine|Chlorpromazine|Methamphetamine|Phenobarbital|Tetrachloroethylene|Valproic Acid,12.96,47
TDO2,6999,Schizophrenia,MESH:D012559,,Caffeine|Dopamine|Folic Acid|Glucocorticoids|Lipopolysaccharides|Valproic Acid,12.96,6
ABHD12,26090,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Phenobarbital|Valproic Acid,12.95,6
CSNK2A1,1457,Schizophrenia,MESH:D012559,,Carbamazepine|Clozapine|Cocaine|Haloperidol|Phenobarbital|Valproic Acid,12.95,218
KRT8,3856,Schizophrenia,MESH:D012559,,Copper|Cytarabine|Folic Acid|Methionine|Phenobarbital|Smoke|Valproic Acid|Vitamin A,12.95,9
MIA2,4253,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methamphetamine|Methionine|Valproic Acid,12.95,10
MTMR11,10903,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Phenobarbital|Valproic Acid,12.95,6
SLC5A3,6526,Schizophrenia,MESH:D012559,,Carbamazepine|Cocaine|Ketamine|Lipopolysaccharides|Methamphetamine|Valproic Acid,12.95,13
USPL1,10208,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methamphetamine|Methionine|Valproic Acid,12.95,10
KRT5,3852,Schizophrenia,MESH:D012559,,Copper|Folic Acid|Methionine|Phenobarbital|Smoke|Valproic Acid,12.94,7
OLFR1014,258562,Schizophrenia,MESH:D012559,,Folic Acid|Methionine|Phenobarbital,12.94,4
PRMT1,3276,Schizophrenia,MESH:D012559,,Cocaine|Folic Acid|Lipopolysaccharides|Methionine|Phenobarbital|Valproic Acid,12.94,7
RB1,5925,Schizophrenia,MESH:D012559,,Caffeine|Carbamazepine|Copper|Dehydroepiandrosterone|Eicosapentaenoic Acid|Glucocorticoids|Ketamine|Lipopolysaccharides|Phenobarbital|Promethazine|Valproic Acid,12.94,12
SLC13A3,64849,Schizophrenia,MESH:D012559,,Carbamazepine|Folic Acid|Lipopolysaccharides|Methionine|Phenobarbital|Valproic Acid,12.94,7
SPRY3,10251,Schizophrenia,MESH:D012559,,Copper|Tetrachloroethylene|Valproic Acid,12.94,4
SRGN,5552,Schizophrenia,MESH:D012559,,Chlorpromazine|Copper|Cytarabine|Lipopolysaccharides|Phenobarbital|Valproic Acid,12.94,28
HTR6,3362,"Schizophrenia, Paranoid",MESH:D012563,,Clozapine|olanzapine|Risperidone,12.93,46
CYP17A1,1586,Schizophrenia,MESH:D012559,,25-hydroxyvitamin D|Caffeine|Carbamazepine|Dehydroepiandrosterone|lamotrigine|Lipopolysaccharides|Phenobarbital|Tetrachloroethylene|Valproic Acid|Venlafaxine Hydrochloride,12.92,12
GSTA3,2940,Schizophrenia,MESH:D012559,,Copper|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Phenobarbital|Plant Preparations|Tetrachloroethylene|Valproic Acid,12.92,18
TEX28,1527,Schizophrenia,MESH:D012559,,Copper|Methamphetamine|Valproic Acid,12.91,8
DUXBL1,278672,Schizophrenia,MESH:D012559,,Methamphetamine|Phenobarbital|Valproic Acid,12.90,8
SLC14A2,8170,Schizophrenia,MESH:D012559,,Cocaine|Lithium|Methamphetamine|Norepinephrine|Valproic Acid,12.90,15
